dataset,figure,panel,algo,x,y,lo,hi
pu0,eff_purity,efficiency,maskformer,0.707107,0.60343,0.600726,0.606128
pu0,eff_purity,efficiency,maskformer,1.41421,0.765937,0.763119,0.768732
pu0,eff_purity,efficiency,maskformer,3.16228,0.786462,0.783343,0.789548
pu0,eff_purity,efficiency,maskformer,7.07107,0.770679,0.765508,0.775772
pu0,eff_purity,efficiency,maskformer,14.1421,0.744338,0.736422,0.752099
pu0,eff_purity,efficiency,maskformer,31.6228,0.715714,0.703147,0.727965
pu0,eff_purity,efficiency,maskformer,100,0.730337,0.700434,0.758401
pu0,eff_purity,purity,maskformer,0.707107,0.872932,0.870614,0.875215
pu0,eff_purity,purity,maskformer,1.41421,0.89707,0.894824,0.899273
pu0,eff_purity,purity,maskformer,3.16228,0.887475,0.884897,0.890003
pu0,eff_purity,purity,maskformer,7.07107,0.861597,0.857104,0.865974
pu0,eff_purity,purity,maskformer,14.1421,0.853293,0.846554,0.859792
pu0,eff_purity,purity,maskformer,31.6228,0.818455,0.807277,0.829138
pu0,eff_purity,purity,maskformer,100,0.851562,0.825921,0.874223
pu0,eff_purity,efficiency,clue,0.707107,0.49031,0.48755,0.493069
pu0,eff_purity,efficiency,clue,1.41421,0.578756,0.575484,0.582022
pu0,eff_purity,efficiency,clue,3.16228,0.597963,0.594252,0.601664
pu0,eff_purity,efficiency,clue,7.07107,0.563958,0.557908,0.569989
pu0,eff_purity,efficiency,clue,14.1421,0.55197,0.54304,0.560867
pu0,eff_purity,efficiency,clue,31.6228,0.602857,0.589352,0.616212
pu0,eff_purity,efficiency,clue,100,0.808989,0.781848,0.833641
pu0,eff_purity,purity,clue,0.707107,0.899721,0.897574,0.901828
pu0,eff_purity,purity,clue,1.41421,0.914743,0.912566,0.916872
pu0,eff_purity,purity,clue,3.16228,0.891502,0.888787,0.894159
pu0,eff_purity,purity,clue,7.07107,0.823995,0.818609,0.829258
pu0,eff_purity,purity,clue,14.1421,0.715716,0.706587,0.724676
pu0,eff_purity,purity,clue,31.6228,0.608096,0.593249,0.622752
pu0,eff_purity,purity,clue,100,0.648305,0.614505,0.680767
pu0,response,median,maskformer,0.707107,1.00872,1.00735,1.01
pu0,response,median,maskformer,1.41421,1,1,1
pu0,response,median,maskformer,3.16228,0.997161,0.996327,0.997928
pu0,response,median,maskformer,7.07107,0.98928,0.988194,0.991753
pu0,response,median,maskformer,14.1421,0.990768,0.98861,0.99563
pu0,response,median,maskformer,31.6228,0.985217,0.977324,0.990821
pu0,response,median,maskformer,100,1,0.993108,1
pu0,response,resolution,maskformer,0.707107,0.173042,0.167518,0.177981
pu0,response,resolution,maskformer,1.41421,0.142036,0.138952,0.145791
pu0,response,resolution,maskformer,3.16228,0.179578,0.176031,0.182977
pu0,response,resolution,maskformer,7.07107,0.22663,0.22108,0.233097
