selection,algo,n_particles,efficiency,eff_low,eff_high,eff_mean,eff_median,pur_all_clusters,pur_matched,pur_median,fake_rate,match_rate,split_rate,split_rate_e,merge_rate,merge_rate_e,frag_frac
all particles,clue,749472,0.5241143098074378,0.5226484126760319,0.5259181870907572,0.49572062650288723,0.5375693794710357,0.2674788993178849,0.6300783765055521,0.0,0.5754831314774886,0.7066614896887409,0.23504947483028052,0.2469298386063789,0.13244735850720188,0.1268509686675911,0.3315646066976627
all particles,maskformer,749472,0.5088782502882029,0.5070190327760695,0.5111990391821692,0.47541753170007206,0.5101716752639571,0.356165197831317,0.6063809954992143,0.2357239044454806,0.4126379281756721,0.7515090623799154,0.367158479569617,0.3459261987105589,0.23811400915401967,0.22065066746756518,0.43398055773134786
all particles,maskformer_chained,749472,0.6006348469322403,0.5988646671704526,0.6028122273866747,0.5588383643563369,0.6239778751388636,0.2664541365677953,0.4276881049983345,0.1969401665968263,0.3769896018762716,0.7971198390333462,0.5347071004653943,0.48378725289270313,0.3470852195640317,0.3131231600451757,0.2839190679470172
all particles,oracle_geometric,749472,0.7979017228128602,0.7965177273607774,0.7996954781352305,0.7373526591489297,0.8463929048733401,0.24675905170573417,0.2634000928613546,0.30026608003634603,0.06317781051193373,0.9368221894880663,0.5746725694889202,0.5105434225694889,0.5905811024294436,0.5373035950642586,0.2004140352282429
all particles,oracle_resolution,749472,0.9891283463558345,0.9888916787963667,0.9894156302249776,0.9891283463558345,1.0,0.42429795393315695,0.42446622529420336,0.44150634160756663,0.0003964305073501452,0.9891283463558345,0.0,0.0,0.008578540434563346,0.008578540434563346,0.0010887664916100935
E > 1 GeV,clue,430401,0.5522594046017552,0.550469767512452,0.554358365622477,0.51888087063832,0.5729049709095829,0.2674788993178849,0.66073799198412,0.0,0.5754831314774886,0.7350633479011434,0.27600307620103115,0.2972112053642998,0.13244735850720188,0.1268509686675911,0.3045983270302752
E > 1 GeV,maskformer,430401,0.5223919089407321,0.5205066377326033,0.5249071203015354,0.4951429084201777,0.5252507631489136,0.356165197831317,0.6289730613608966,0.2357239044454806,0.4126379281756721,0.7786506072244256,0.3945088417545498,0.37169987987946124,0.23811400915401967,0.22065066746756518,0.4137279007984584
E > 1 GeV,maskformer_chained,430401,0.5976380166402959,0.5957720839959185,0.6000596558227133,0.5601152996460068,0.6153457240071123,0.2664541365677953,0.4624875082088913,0.1969401665968263,0.3769896018762716,0.8137295220038987,0.5570572559078627,0.5011930734361677,0.3470852195640317,0.3131231600451757,0.28883943644887217
E > 1 GeV,oracle_geometric,430401,0.7910065264718251,0.7894109408205685,0.7930030622730934,0.732031447727134,0.8420393637118916,0.24675905170573417,0.2978855659542304,0.30026608003634603,0.06317781051193373,0.9344495017437228,0.5817528304999291,0.5124500175417808,0.5905811024294436,0.5373035950642586,0.20277733597486924
E > 1 GeV,oracle_resolution,430401,0.9920469515637742,0.9917891012936528,0.9923414125057678,0.9920469515637742,1.0,0.42429795393315695,0.4587168425539489,0.44150634160756663,0.0003964305073501452,0.9920469515637742,0.0,0.0,0.008578540434563346,0.008578540434563346,0.000780667331163264
E > 5 GeV,clue,10701,0.37706756377908607,0.37084634264908595,0.3837339536860118,0.36420064637018523,0.28118224123044355,0.2674788993178849,0.44037089871611984,0.0,0.5754831314774886,0.6550789645827493,0.3986543313708999,0.44612653023081955,0.13244735850720188,0.1268509686675911,0.2809173451558884
E > 5 GeV,maskformer,10701,0.23866928324455658,0.2329262032871735,0.2444505836006087,0.3242797816802403,0.2976610761498579,0.356165197831317,0.4808482291551016,0.2357239044454806,0.4126379281756721,0.8416970376600318,0.48182412858611345,0.6160171946547052,0.23811400915401967,0.22065066746756518,0.5994066742667876
E > 5 GeV,maskformer_chained,10701,0.3024950939164564,0.2971788296975505,0.3081150501732797,0.3709945684366304,0.35322806366679865,0.2664541365677953,0.35896053482855295,0.1969401665968263,0.3769896018762716,0.8666479768245958,0.8701055976077002,0.8198299224371554,0.3470852195640317,0.3131231600451757,0.514643373450478
E > 5 GeV,oracle_geometric,10701,0.4361274647229231,0.42932620530194526,0.4430413938103261,0.4670404071305686,0.4482250539626531,0.24675905170573417,0.2910079051383399,0.30026608003634603,0.06317781051193373,0.9457060087842257,0.8765535931221381,0.8361835342491356,0.5905811024294436,0.5373035950642586,0.4671792782163294
E > 5 GeV,oracle_resolution,10701,0.9869171105504159,0.9857260821010343,0.9882217463160371,0.9869171105504159,1.0,0.42429795393315695,0.7009752864312092,0.44150634160756663,0.0003964305073501452,0.9869171105504159,0.0,0.0,0.008578540434563346,0.008578540434563346,0.0009344921035417251
