selection,algo,n_particles,efficiency,eff_low,eff_high,eff_mean,eff_median,pur_all_clusters,pur_matched,pur_median,fake_rate,match_rate,split_rate,split_rate_e,merge_rate,merge_rate_e,frag_frac
all particles,clue,269059,0.31474137642673167,0.31206349442815384,0.31763378060168845,0.3086417129212567,0.04424027788256776,0.2508453764657478,0.569449005056807,0.0,0.5594945741616951,0.5093418172222449,0.30036534737734105,0.30000483165402386,0.16352409483645342,0.15901756325858876,0.30566699291382615
all particles,maskformer,269059,0.31815326749895007,0.31504920438645473,0.3214718185033393,0.33697497289052664,0.2686228613302048,0.30962403569944535,0.48391377762216436,0.23026481470643662,0.3601669346533938,0.6581344612148264,0.3191530482161905,0.3686180354494739,0.2761178659825477,0.297194269299561,0.5683916393109122
all particles,oracle_geometric,269059,0.6076957098628926,0.6042024790762498,0.6114367567210798,0.5901335844320733,0.6383899230637295,0.19350402699779604,0.21604484889226389,0.23999144589756383,0.10433399365938326,0.8956660063406168,0.711368138586704,0.6591193753043013,0.6475940221289754,0.6023474405241973,0.30819462441878814
all particles,oracle_resolution,269059,0.9648701585897517,0.9642005320706546,0.9655351570161788,0.9648701585897517,1.0,0.4865556486255946,0.48777575335025636,0.4899309877109848,0.0025013640310768545,0.9648701585897517,0.0,0.0,0.022988726571325377,0.022988726571325377,0.004697854373947721
E > 1 GeV,clue,219153,0.3249191204318444,0.3221264999756942,0.3278446404086154,0.319149596641381,0.10866605770850517,0.2508453764657478,0.5670543067469942,0.0,0.5594945741616951,0.5324544952613015,0.30833253480445166,0.3170250920589725,0.16352409483645342,0.15901756325858876,0.31376787177261967
E > 1 GeV,maskformer,219153,0.3205112410051425,0.31738588518158584,0.3243859832594199,0.34198170136748907,0.28044118314399724,0.30962403569944535,0.49874014577830617,0.23026481470643662,0.3601669346533938,0.6754778624978895,0.3226193572526956,0.3796708235798734,0.2761178659825477,0.297194269299561,0.567679058667625
E > 1 GeV,oracle_geometric,219153,0.601105163972202,0.5974591725392728,0.6048662974274754,0.585705951612605,0.629252171319985,0.19350402699779604,0.2161721369779494,0.23999144589756383,0.10433399365938326,0.8980940256350586,0.715413432624696,0.6641843826002838,0.6475940221289754,0.6023474405241973,0.3135185858426976
E > 1 GeV,oracle_resolution,219153,0.9669409042997358,0.9662662699399761,0.9676099212700653,0.9669409042997358,1.0,0.4865556486255946,0.48855635464446834,0.4899309877109848,0.0025013640310768545,0.9669409042997358,0.0,0.0,0.022988726571325377,0.022988726571325377,0.004129535073669993
E > 5 GeV,clue,44204,0.29687358610080533,0.29378909846269596,0.3006719383216257,0.3106509523552263,0.20096178430954983,0.2508453764657478,0.48824817518248176,0.0,0.5594945741616951,0.6198534069314994,0.32999276083612344,0.4106868156727898,0.16352409483645342,0.15901756325858876,0.3561341127860343
E > 5 GeV,maskformer,44204,0.22857659940276898,0.22570784629209895,0.23184156745300785,0.3085125166403641,0.27033688534509503,0.30962403569944535,0.47595366085031765,0.23026481470643662,0.3601669346533938,0.7869649805447471,0.327210207221066,0.4983033209664284,0.2761178659825477,0.297194269299561,0.6153864944828016
E > 5 GeV,oracle_geometric,44204,0.4516559587367659,0.44682901459012764,0.4565039353764024,0.47937834737391777,0.4577037011191416,0.19350402699779604,0.1853554222790286,0.23999144589756383,0.10433399365938326,0.9203691973577052,0.829178354900009,0.7943851235182336,0.6475940221289754,0.6023474405241973,0.43547208608452415
E > 5 GeV,oracle_resolution,44204,0.9621753687449099,0.960794552677418,0.9635300116529708,0.9621753687449099,1.0,0.4865556486255946,0.554053418602464,0.4899309877109848,0.0025013640310768545,0.9621753687449099,0.0,0.0,0.022988726571325377,0.022988726571325377,0.004795946068229119
E > 20 GeV,clue,7677,0.22417611045981503,0.21913494295646002,0.22948084950572675,0.2588581328454004,0.13657755028622987,0.2508453764657478,0.47662788324147787,0.0,0.5594945741616951,0.6381398983978116,0.3703269506317572,0.4914680213625114,0.16352409483645342,0.15901756325858876,0.3900649004665704
